 aspect_ratio | width | height | iso_639_1 |            file_path             | vote_average | vote_count | movie_id | image_type 
        2.311 |   564 |    244 | ja        | /5o1TSGT6j7wTs1lEURyAgfvajLk.png |            0 |          0 |   102382 | logo
         7.31 |  1272 |    174 | es        | /pCuPf4lcfry1QoWeUGevnIDPVEC.png |            0 |          0 |   102382 | logo
         4.36 |  1356 |    311 | pt        | /ivO9jhab3hLpgTZNVRoNS1or20C.png |            0 |          0 |   102382 | logo
        2.514 |   611 |    243 | he        | /lLIy9BqoWg9xF6QcaF4JJfYP2A8.png |            0 |          0 |   102382 | logo
        1.778 |  3840 |   2160 |           | /agoBZfL1q5G79SD0npArSlJn8BH.jpg |        5.458 |         13 |   515001 | backdrop
        1.778 |  3500 |   1968 |           | /zrlJRfjpMsn4FtwZsg9k7YW87gR.jpg |        5.456 |          7 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /lTyikzfGgRX5ZqIfVeT26APYfRL.jpg |        5.456 |         11 |   515001 | backdrop
        1.778 |  3840 |   2160 | en        | /qtgkNOIsFjbqdikd5npGO2Cqsqb.jpg |        5.388 |          4 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /uSYkZt12ewdg8eT4aOsAnh22IYw.jpg |        5.326 |          7 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /oT2DbUVEUc1AIgBBJwVl3hm0ID6.jpg |        5.318 |          3 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /8CX2kCBV9x5ASTQ3ipLToz6TtCa.jpg |        5.318 |          3 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /3VEOOOw6TnPBWT7iFimrYjrOrxU.jpg |        5.318 |          3 |   515001 | backdrop
        1.778 |  3840 |   2160 | en        | /fNjEw11CfvDliHWBpAD2Izrk3Qx.jpg |        5.312 |          1 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /rBQjbPYVT2HOQAXDYpWJo0ELNgl.jpg |        5.312 |          1 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /A4HliAR3yb6mPDRSEPtpOOvTJ5B.jpg |        5.312 |          1 |   515001 | backdrop
        1.778 |  1920 |   1080 |           | /xqx5XqTeN3krSM5JFYGsxX81CRk.jpg |         5.27 |         10 |   515001 | backdrop
